BodyLength,Wingspan,Weight,PlumageColorHead,PlumageColorBack,PlumageColorBelly,PlumageColorWings,PlumageColorTail,BeakLength,BeakWidth,BeakShape,BeakColor,LegLength,LegColor,FootType,EyeColor,DietType,FeedingBehavior,PreferredHabitat,GeographicalRange,MigratoryBehavior,BreedingSeason,NestType,ClutchSize,EggColor,IncubationPeriod,FledglingPeriod,SocialBehavior,FlightPattern,VocalizationType,SoundFrequency,TypicalActivityPeriod,Predators,Lifespan,SexualDimorphism,MoltFrequency,TarsusLength,WingShape,TailShape,ConservationStatus,TerritorialBehavior,MigrationDistance,ForagingHeight,WaterDependency,TemperaturePreference,ColorVision,NocturnalVision,HearingAcuity,OlfactoryAcuity,TouchSensitivity,PollinationRole,SeedDispersalRole,InterspecificInteraction,IntraspecificInteraction,LearningAbility,ToolUse,ParentalCareLevel,BathingBehavior,GroomingBehavior,FlightSpeed,SpeciesClass
4.677,3.545,0.245,8.587,4.162,1.658,8.942,0.89,2.828,6.579,1.95,0.508,7.415,3.92,2.415,2.677,1.354,2.636,2.283,1.943,3.019,7.494,3.219,8.826,9.831,0.326,8.141,5.107,5.1,8.273,5.046,0.305,4.994,7.362,9.763,5.27,6.967,7.2,3.92,7.011,5.672,6.762,9.28,9.229,5.593,No,No,5.249,6.788,4.539,1.604,9.997,7.852,1.502,4.98,1.886,0.493,2.309,9.441,3.691,0
0.452,1.096,7.821,5.832,4.061,0.778,7.058,7.82,1.022,8.112,9.44,1.5,0.868,4.987,3.422,3.453,7.101,2.318,9.097,8.149,9.383,6.101,0.648,3.73,9.227,1.906,9.89,4.638,0.582,4.179,9.651,8.546,3.429,7.306,6.858,1.119,2.595,2.641,3.162,8.263,9.924,6.378,3.327,4.123,3.918,No,No,6.554,1.401,1.579,2.008,6.437,3.361,7.773,8.504,3.709,3.357,2.809,9.485,3.954,2
6.256,5.919,3.193,9.211,0.478,4.971,3.532,2.736,0.978,2.469,7.792,2.299,0.287,7.584,1.735,5.653,5.199,1.677,0.726,9.526,3.16,0.612,5.04,0.986,9.127,9.455,7.472,8.385,3.733,5.14,6.501,1.611,5.659,0.878,5.592,1.717,7.659,4.012,1.481,8.279,6.845,4.868,8.609,6.432,1.453,Yes,No,2.366,3.146,3.435,0.289,8.432,0.92,2.267,5.494,5.81,2.396,6.173,5.783,2.529,5
8.044,0.839,6.164,9.487,6.664,3.39,4.039,7.308,3.168,5.789,8.756,7.564,2.722,6.095,1.25,9.698,9.472,9.378,7.763,8.534,3.467,3.806,2.266,6.999,0.691,5.815,3.147,7.764,6.261,9.203,1.517,6.656,1.642,0.403,8.665,4.077,5.161,5.354,0.49,2.79,3.581,8.367,3.029,5.055,6.986,No,No,4.589,0.037,7.368,9.743,0.708,4.569,2.526,8.948,6.122,0.724,1.391,9.619,5.214,3
1.121,3.71,8.872,6.641,6.643,6.464,5.04,8.451,1.688,6.665,3.208,3.164,2.801,1.02,8.73,9.233,5.435,2.382,8.85,8.214,7.36,0.938,8.164,2.045,4.125,2.61,9.455,7.789,6.772,9.793,6.569,8.839,3.497,8.576,0.292,1.422,9.87,7.925,9.933,9.343,5.2,1.372,8.552,8.459,7.111,No,Yes,4.564,5.521,4.283,7.891,2.39,0.739,2.954,0.475,1.244,5.166,1.285,6.158,5.788,2
9.402,4.502,0.323,5.501,9.774,1.755,8.996,9.062,8.279,3.801,0.401,6.913,6.786,7.487,8.993,3.5,1.819,2.519,2.125,3.258,6.643,7.762,1.37,9.154,5.284,7.017,3.027,2.566,5.713,4.104,7.318,1.97,8.389,6.012,3.128,4.953,8.497,9.468,2.612,7.916,7.762,5.264,7.117,2.236,5.053,Yes,Yes,7.017,3.998,3.084,8.926,2.852,7.483,7.572,6.334,2.127,2.753,8.837,1.203,5.755,0
1.341,8.129,0.056,6.002,4.349,4.27,9.252,5.04,0.597,7.219,8.501,3.874,7.018,9.876,6.58,2.23,7.169,0.097,5.167,6.343,2.224,4.881,1.234,4.656,3.622,5.822,0.477,2.651,8.486,3.348,7.842,7.878,1.708,2.172,9.696,2.171,0.668,7.501,9.126,4.997,6.06,8.713,6.053,6.361,5.127,Yes,No,8.879,6.579,4.777,5.999,7.179,5.244,1.266,8.625,3.01,7.298,9.572,6.32,7.932,3
8.139,7.012,8.697,9.315,5.89,6.178,2.485,3.656,8.009,5.965,8.475,3.465,7.288,5.396,4.381,8.953,0.454,4.939,4.392,9.132,0.594,6.794,5.251,4.832,3.605,7.96,8.431,4.193,6.102,8.439,9.395,1.311,0.613,5.923,1.241,2.285,2.559,1.031,4.318,5.854,6.546,3.967,6.994,5.07,1.73,Yes,Yes,7.452,5.16,6.228,5.799,2.929,9.638,9.106,9.527,8.711,2.72,5.171,0.578,9.342,3
3.3,8.86,0.17,3.559,3.606,4.444,1.827,4.376,3.362,3.595,9.024,1.914,2.8,8.982,8.154,9.895,4.478,3.913,1.814,5.236,3.697,5.553,4.412,3.546,0.636,8.494,4.761,8.988,3.188,5.103,5.269,8.692,4.57,2.996,5.544,6.16,2.495,1.557,3.274,4.344,3.17,6.132,6.867,6.72,4.851,Yes,No,3.734,2.717,1.851,9.452,4.206,6.111,7.587,6.747,6.671,1.795,5.875,6.468,5.286,0
4.457,8.057,0.952,9.175,2.981,2.755,2.821,3.24,0.661,4.73,5.448,8.055,1.285,6.138,7.518,8.546,5.932,8.583,1.932,6.19,2.742,3.361,7.426,5.78,2.912,9.499,2.564,9.006,7.905,3.322,9.527,7.446,5.302,8.953,0.607,4.315,4.126,9.39,3.919,4.011,6.872,6.638,4.735,5.204,2.757,No,No,8.451,8.798,8.905,4.778,9.632,5.68,9.099,5.448,9.208,4.206,1.216,9.455,4.4,0
3.918,9.375,6.341,5.542,0.938,7.95,4.14,2.404,3.275,8.809,7.522,0.1,8.176,6.215,0.838,0.079,9.225,6.346,7.726,9.998,5.366,4.224,7.44,7.328,2.08,0.098,6.619,8.227,2.63,9.686,5.925,4.363,7.602,9.969,5.493,9.837,8.586,0.346,5.289,4.767,1.615,2.672,0.582,9.437,1.878,No,Yes,5.64,0.669,6.782,0.892,4.981,6.325,7.638,0.564,4.172,8.796,9.649,5.375,3.077,0
1.17,4.918,9.777,4.942,5.47,1.038,0.205,1.228,9.982,5.364,4.95,5.569,5.444,1.688,8.954,8.187,9.647,0.489,3.581,5.7,0.669,2.75,5.611,0.236,6.706,2.118,8.57,5.935,2.976,8.57,8.339,0.476,1.807,1.095,2.802,9.628,2.911,3.826,1.301,9.505,4.571,0.163,1.132,0.29,9.751,No,Yes,8.848,9.604,6.072,2.399,9.949,2.365,0.937,6.503,8.538,8.563,5.103,1.441,1.947,2
7.003,9.128,8.526,7.253,2.479,4.814,1.866,9.577,0.726,6.033,1.978,6.207,8.389,0.344,7.405,7.784,5.79,2.982,3.533,1.65,3.555,7.365,3.374,1.526,9.572,8.008,6.62,3.938,1.802,6.937,2.098,2.649,7.367,0.882,1.849,8.791,7.997,6.104,3.612,1.713,4.118,7.202,8.177,5.925,2.988,Yes,No,1.67,9.783,1.95,7.841,7.236,1.089,7.373,1.603,3.756,2.086,9.376,1.283,1.535,2
1.166,3.406,2.602,8.704,7.247,5.094,0.843,9.211,3.001,7.565,4.832,2.043,8.294,2.287,5.314,3.46,7.941,0.267,4.38,9.279,4.555,8.351,9.636,4.861,0.393,6.43,0.824,7.664,8.991,3.596,0.463,1.415,4.262,7.776,0.984,8.326,5.491,2.788,2.944,8.148,6.482,2.804,3.504,4.461,4.453,No,No,4.612,6.147,2.124,6.685,8.716,4.087,3.681,7.586,7.623,6.327,7.135,1.72,3.235,2
2.949,8.669,3.144,0.333,2.118,6.033,0.354,5.221,7.428,1.387,1.829,3.224,5.256,6.792,8.713,3.499,3.058,3.535,1.284,3.512,2.32,5.255,6.856,8.937,1.341,9.656,6.042,3.55,6.115,3.846,5.718,2.635,3.797,7.545,3.154,1.934,2.99,0.736,1.014,7.785,0.478,4.774,7.317,1.361,4.516,Yes,Yes,9.621,3.291,5.885,0.524,4.66,2.442,3.721,5.731,6.411,1.05,7.677,8.177,7.433,2
2.529,7.487,6.674,3.156,3.843,6.247,7.579,3.522,0.313,6.774,7.221,1.277,4.543,2.558,7.873,3.487,8.712,0.262,5.409,1.4,0.412,9.16,7.616,8.938,6.092,8.642,8.256,4.406,1.726,8.958,2.237,6.713,8.141,9.434,9.66,8.145,0.939,0.235,4.855,5.554,6.316,8.981,8.133,5.55,4.103,No,Yes,9.154,0.716,4.485,6.303,2.187,8.667,8.508,5.499,8.451,8.644,1.319,3.889,2.426,5
5.506,5.119,1.596,8.343,8.787,7.916,3.0,0.907,7.965,6.839,8.713,1.869,9.136,2.357,1.628,4.619,5.705,3.978,3.768,9.925,6.34,0.79,4.861,2.138,1.55,2.813,7.846,2.783,9.018,6.313,1.493,5.239,8.789,4.942,1.576,0.909,4.026,4.128,7.867,1.232,5.927,4.857,1.767,1.237,6.599,No,Yes,0.894,8.37,1.426,3.244,5.232,2.497,5.369,8.502,0.528,8.45,3.718,8.619,2.205,2
1.636,0.48,1.977,1.039,4.486,0.667,8.069,2.638,2.832,1.455,6.257,1.435,2.979,7.057,0.748,8.058,8.435,2.308,7.846,7.396,4.225,8.506,3.003,1.74,0.949,7.952,5.085,3.4,7.069,3.771,6.316,9.415,3.581,1.87,7.697,6.024,9.286,2.241,5.432,9.932,9.617,0.232,9.683,0.499,4.202,No,No,7.939,0.046,4.244,8.631,7.429,9.696,1.274,9.472,1.859,0.117,2.87,6.251,5.325,4
9.24,6.728,7.394,2.909,3.372,2.284,0.591,6.342,9.341,1.751,3.697,5.849,6.573,1.031,0.964,3.69,9.767,6.271,9.185,3.102,9.792,8.391,7.611,7.762,0.788,8.181,4.081,8.206,0.709,7.099,5.326,4.346,1.292,4.773,4.683,3.948,8.232,5.599,5.497,4.006,6.57,2.551,1.845,9.051,7.988,No,Yes,1.578,3.27,7.417,2.384,1.604,8.022,1.326,7.805,1.138,7.975,5.785,9.53,2.755,4
3.528,0.757,0.748,0.691,4.826,2.156,3.343,4.16,2.285,7.368,1.964,2.387,8.64,4.488,7.365,1.28,7.977,3.733,3.919,3.025,8.315,0.935,7.88,4.698,9.237,0.475,8.944,0.193,7.238,6.874,7.86,6.714,6.164,8.346,6.812,8.893,3.332,1.593,6.956,2.806,9.094,0.356,3.914,9.662,0.782,Yes,No,6.011,0.921,6.833,3.893,6.618,6.705,3.834,1.226,0.913,8.363,1.317,1.603,3.893,4
6.188,7.311,6.268,2.669,8.409,3.043,4.098,5.393,0.012,0.791,2.351,0.383,7.886,1.566,0.896,5.419,0.517,2.179,0.419,3.479,2.992,2.672,8.787,6.517,3.563,6.756,7.932,6.294,0.101,8.032,2.04,7.693,5.857,0.659,3.951,2.949,1.225,5.965,8.625,3.561,9.384,1.514,5.073,1.907,5.205,Yes,No,6.157,6.84,6.378,5.172,8.555,3.041,9.034,5.318,2.558,9.891,2.972,6.195,9.202,3
3.643,4.465,3.568,7.145,9.352,1.711,6.446,0.399,1.407,3.778,7.783,6.728,4.005,1.379,2.018,7.589,9.463,1.017,5.792,8.285,0.269,2.727,5.744,2.811,0.316,7.211,8.586,3.76,3.087,5.358,5.556,5.48,2.988,4.396,1.662,4.187,6.768,1.717,1.562,1.526,7.166,1.285,1.568,8.772,5.099,Yes,Yes,8.268,4.927,8.287,0.88,3.358,9.474,4.373,3.593,3.64,8.813,6.957,0.097,5.581,0
1.983,4.368,1.136,0.675,3.438,7.409,7.947,2.148,0.26,9.128,3.016,7.999,3.497,7.85,5.938,5.774,0.501,5.702,4.217,6.597,9.937,0.807,3.9,6.332,8.84,7.321,3.308,2.962,3.271,9.865,6.481,9.115,7.676,0.929,8.356,9.686,8.606,8.744,1.787,4.738,2.715,1.385,5.512,3.145,9.404,Yes,No,0.809,0.79,8.677,0.844,4.735,7.84,2.073,7.931,4.155,6.243,2.919,2.353,0.627,5
1.3,0.741,9.045,2.622,6.741,3.325,4.168,4.787,6.228,3.136,1.898,2.893,2.899,1.085,1.297,5.336,3.421,9.348,7.024,8.56,2.259,3.891,5.405,2.296,4.538,3.234,5.735,2.506,6.665,4.181,8.459,1.535,1.247,9.328,9.534,8.424,6.75,6.942,9.448,5.442,5.726,8.022,4.213,9.365,2.676,No,No,3.593,8.756,8.279,3.911,8.335,7.499,5.35,7.391,7.694,7.229,8.115,5.03,8.732,3
0.788,9.495,1.22,3.632,7.367,7.132,4.362,0.953,4.679,8.161,7.473,4.22,8.44,9.456,5.877,0.106,8.381,4.513,2.65,8.082,2.683,4.189,0.95,3.257,4.841,2.739,9.145,3.049,2.854,8.323,4.177,5.437,8.721,3.331,9.873,2.007,7.672,4.841,7.497,0.712,6.244,6.228,3.139,2.208,0.34,Yes,Yes,1.403,7.513,1.57,4.434,3.758,8.404,2.997,5.867,2.076,4.572,8.816,7.394,0.658,4
2.81,1.471,1.456,3.622,9.952,1.887,7.037,9.256,7.717,4.645,1.123,4.866,4.221,0.521,7.162,0.531,5.417,1.523,3.565,5.388,8.923,1.685,2.831,6.076,5.405,6.004,4.781,5.641,2.198,6.502,1.197,1.576,2.369,1.235,0.077,0.36,5.168,9.145,2.875,3.761,1.01,9.522,9.645,0.391,5.747,No,Yes,4.395,8.622,3.434,5.239,8.728,2.489,0.816,5.443,5.91,7.89,7.875,6.643,0.442,3
2.06,2.862,7.595,6.845,8.74,8.49,2.769,6.085,3.772,0.35,7.672,2.035,7.016,8.423,0.749,3.484,3.451,6.624,4.711,4.02,5.301,9.741,3.318,8.902,3.901,5.358,7.145,4.953,5.153,0.409,0.758,7.082,9.056,0.871,3.022,5.076,8.527,4.681,0.523,3.309,1.428,7.476,4.945,6.554,5.597,No,Yes,8.894,0.669,6.097,9.221,3.476,4.916,5.66,9.883,4.698,4.107,8.447,5.067,9.918,0
7.607,2.889,4.781,9.636,4.462,3.007,3.936,8.151,9.451,9.935,8.387,3.006,8.471,4.545,4.631,6.999,1.213,5.278,0.069,2.695,6.001,8.076,8.022,3.911,3.2,6.617,4.723,8.855,5.963,1.124,8.57,7.358,8.696,7.95,0.64,6.845,5.9,1.696,7.828,0.176,4.129,0.57,3.12,9.133,1.665,No,Yes,5.85,0.83,5.12,5.435,3.425,1.659,7.474,8.397,8.225,7.392,0.398,9.75,7.386,0
9.456,1.599,2.549,4.48,1.349,4.603,1.397,7.3,1.66,4.576,8.658,5.931,4.611,1.477,1.719,5.91,1.983,9.042,1.795,6.571,4.225,8.605,5.366,9.759,1.976,6.821,2.915,5.774,7.235,7.565,9.016,0.692,2.894,3.845,2.243,8.084,7.109,5.108,6.996,8.931,5.526,6.072,5.688,3.914,6.402,No,Yes,6.014,2.574,5.867,4.073,6.375,0.935,2.637,1.311,9.805,1.039,7.234,2.25,2.781,4
1.438,6.696,8.119,9.43,3.989,9.598,3.108,9.408,1.192,3.055,1.793,1.634,2.635,0.471,3.593,3.803,4.213,0.751,5.197,1.296,4.308,5.471,2.656,5.993,0.711,4.384,0.09,0.309,3.686,4.158,1.299,0.544,2.202,2.559,7.628,3.308,6.866,4.375,8.003,3.498,8.002,6.355,8.07,8.308,4.277,No,No,7.253,7.584,9.58,0.61,2.13,8.026,3.047,4.245,1.81,4.72,4.347,7.625,5.76,5
9.283,2.241,1.114,7.05,1.04,6.064,0.358,4.197,6.549,6.815,8.551,8.793,0.61,7.342,8.073,8.786,2.09,0.426,4.654,1.019,2.334,1.772,7.557,8.238,0.067,1.2,3.009,9.435,1.663,6.59,9.549,2.849,8.112,3.323,5.067,1.09,6.858,4.811,9.208,8.058,7.935,3.452,0.154,8.898,4.787,No,Yes,0.875,7.405,6.336,8.196,8.012,6.247,1.598,9.864,0.329,0.506,0.5,9.929,4.086,2
0.788,0.563,3.148,8.015,3.691,7.099,3.038,7.511,8.575,2.555,0.499,5.791,1.969,8.468,4.741,5.029,1.482,5.527,6.116,2.549,2.47,8.159,8.387,2.659,1.221,5.581,9.149,7.9,4.524,8.291,4.272,7.059,8.05,7.09,3.951,4.515,9.149,9.322,9.703,8.145,9.478,8.697,1.097,2.737,4.608,Yes,Yes,0.562,7.502,3.073,5.626,1.419,2.911,3.23,5.219,2.094,1.107,2.505,3.302,3.184,5
2.958,4.351,0.017,9.186,0.348,6.778,8.586,0.708,5.928,5.147,4.695,8.77,7.689,2.104,7.452,3.717,9.922,8.907,5.573,1.096,7.795,1.591,0.958,5.169,8.867,7.997,0.935,0.988,0.79,8.572,7.096,0.645,9.719,4.195,6.083,9.45,3.616,5.534,8.21,7.015,6.829,6.881,7.918,4.941,1.458,No,Yes,4.616,3.604,7.015,8.651,9.362,8.648,8.648,6.904,3.549,1.673,0.982,6.845,2.231,0
2.633,0.098,7.364,4.588,9.488,3.583,0.413,3.738,7.819,0.222,0.236,7.129,3.659,5.292,8.43,3.725,7.17,5.594,8.085,6.855,4.647,0.647,0.213,8.817,9.4,0.668,2.748,4.036,8.219,4.633,5.647,5.649,8.701,6.123,7.782,1.798,2.549,5.32,3.238,8.966,4.105,0.431,2.631,1.907,7.559,No,No,0.791,0.638,5.319,8.468,9.689,8.038,9.791,1.73,6.851,8.854,0.984,9.12,8.734,2
7.114,3.749,6.318,8.795,1.983,4.644,4.601,2.428,7.73,0.684,7.216,0.799,1.281,1.099,0.445,8.875,0.337,0.388,8.979,3.819,9.48,4.55,3.79,0.352,1.538,5.621,7.024,9.246,5.405,4.646,2.28,8.313,6.86,2.448,8.483,5.333,8.57,9.909,7.659,2.55,6.614,2.674,8.3,4.513,0.794,Yes,Yes,4.655,7.241,3.899,4.295,4.006,4.382,2.811,0.849,4.014,6.056,5.76,3.691,8.383,3
3.582,1.855,1.794,5.923,2.026,1.426,9.649,5.539,3.647,6.484,9.148,8.184,1.649,5.118,5.817,2.625,2.13,4.286,1.679,2.99,0.117,5.254,1.015,8.396,4.4,9.721,7.837,8.653,3.943,9.567,0.447,8.712,2.914,5.185,5.501,4.637,7.974,4.157,6.935,5.223,6.165,0.699,4.491,2.292,7.99,No,No,2.282,0.067,3.758,9.938,5.005,7.113,4.353,1.352,6.805,0.245,0.982,1.433,3.369,2
5.312,0.98,0.849,4.97,8.49,2.38,4.503,1.451,9.971,5.032,6.343,9.434,5.37,1.994,0.39,7.734,7.531,0.391,1.313,1.407,7.569,5.197,3.457,9.813,1.722,6.962,0.612,5.305,9.138,1.395,0.585,4.097,5.245,7.838,3.24,0.379,4.241,8.514,1.389,9.954,7.655,8.514,0.37,4.702,6.094,Yes,No,0.506,6.649,7.396,6.826,9.773,8.499,2.071,4.705,4.843,3.51,2.43,3.16,4.323,3
0.775,8.312,2.311,7.575,6.119,1.344,7.448,9.453,0.182,1.251,3.684,8.032,2.754,0.859,1.379,1.541,6.834,0.847,8.952,0.609,7.178,5.112,5.149,3.063,0.286,8.333,9.733,7.397,2.362,1.927,2.432,5.522,5.773,5.095,8.025,7.044,9.652,9.921,8.523,9.645,1.106,5.652,6.503,1.599,3.13,Yes,Yes,8.923,9.549,7.1,6.83,5.04,1.997,4.706,9.076,5.362,3.315,6.5,5.839,4.128,2
4.075,2.366,7.482,0.074,5.398,8.015,8.641,5.871,0.575,3.807,0.287,3.275,0.208,7.321,2.353,7.018,4.369,1.75,0.637,2.871,3.023,3.705,7.674,9.937,0.719,8.926,0.098,6.868,2.518,6.431,5.043,6.914,4.788,7.847,2.589,9.176,7.783,3.111,0.388,7.789,2.037,3.73,8.571,7.166,6.316,Yes,Yes,8.355,4.116,9.228,3.88,5.262,3.768,4.086,6.149,1.914,1.601,1.461,3.308,4.942,2
2.352,4.532,6.634,3.393,0.444,2.66,0.901,8.112,7.144,8.133,0.581,1.207,3.017,2.167,8.548,0.159,2.737,8.865,3.312,8.376,6.609,1.872,5.506,2.82,4.552,6.238,3.08,4.65,5.298,0.96,9.17,7.774,1.732,3.807,1.045,1.236,4.875,2.62,1.783,3.292,0.811,4.307,0.356,8.353,8.042,No,No,0.349,8.239,3.77,9.594,2.401,7.369,2.243,8.273,9.593,0.188,8.313,9.836,0.953,4
5.949,5.26,0.352,1.547,8.73,7.949,3.255,9.703,3.234,1.911,7.29,6.252,2.793,0.362,5.203,1.783,0.072,9.043,3.416,4.941,6.262,4.304,4.451,1.992,6.252,3.303,3.497,6.901,5.214,8.282,9.347,2.006,7.177,2.227,6.468,6.169,5.664,0.371,7.613,8.132,2.351,7.172,7.579,5.502,9.57,Yes,No,6.046,4.788,8.425,7.851,6.014,0.122,8.407,6.846,6.503,1.593,4.38,5.309,9.854,5
6.633,4.884,9.37,4.23,0.194,6.151,8.919,7.752,0.269,4.188,7.916,5.737,4.611,1.464,1.349,2.364,6.114,1.018,2.189,2.456,5.627,3.932,5.236,6.014,6.395,4.475,1.632,4.158,7.446,5.639,8.997,2.692,1.541,4.925,5.825,4.825,9.382,1.61,2.907,9.555,0.251,1.781,7.259,8.049,7.219,Yes,No,3.324,8.741,6.968,4.309,0.006,8.431,4.874,0.727,7.405,8.554,0.165,4.969,1.055,3
3.759,6.371,2.995,5.075,3.274,9.152,1.177,5.181,4.161,0.738,3.877,7.419,0.79,3.143,8.742,4.868,7.654,9.717,5.388,9.435,8.09,1.382,9.139,6.453,9.169,6.854,9.557,2.551,2.417,3.541,6.936,4.926,8.584,1.794,0.888,7.675,0.446,6.342,2.936,9.079,5.651,9.89,7.816,8.736,8.837,Yes,Yes,3.111,9.878,4.673,9.458,5.992,8.952,4.508,7.6,6.654,7.218,3.487,0.376,0.909,5
9.344,1.549,6.913,2.772,0.898,8.387,7.187,3.668,2.164,5.207,1.855,7.476,3.071,2.145,4.358,0.66,4.445,2.672,4.07,4.931,1.044,5.36,2.576,3.353,7.568,1.044,3.148,6.891,1.054,1.483,2.651,9.545,4.795,2.492,7.168,6.367,8.517,8.39,8.611,6.365,7.809,5.997,2.139,5.194,9.014,No,No,0.638,5.137,5.63,4.067,0.892,8.812,7.792,6.174,3.726,6.484,9.395,2.339,3.942,0
